NOPD_Item,TypeText,InitialTypeText,Zip,PoliceDistrict,Latitude,Longitude
B2128719,FIREWORKS,DISCHARGING FIREARM,70117,5,29.96685546,-90.03401001
A3454419,FIREWORKS,DISTURBANCE (OTHER),70119,1,29.96719283,-90.0858436
L3294419,FIREWORKS,FIREWORKS,70118,2,29.96767256,-90.12026849
H3642719,FIREWORKS,DISCHARGING FIREARM,70116,1,29.96771817,-90.07334185
A0148119,FIREWORKS,FIREWORKS,70116,1,29.96783699,-90.0632678
L3777719,FIREWORKS,FIREWORKS,70117,5,29.96819788,-90.03748246
L4035019,FIREWORKS,FIREWORKS,70119,1,29.96848191,-90.10143628
L4026419,FIREWORKS,DISCHARGING FIREARM,70118,2,29.96853212,-90.11954297
L0121319,FIREWORKS,DISCHARGING FIREARM,70116,1,29.96879558,-90.06433978
L1119419,FIREWORKS,DISCHARGING FIREARM,70117,5,29.9689007,-90.04915311
D4072219,FIREWORKS,AGGRAVATED BATTERY BY SHOOTING,70119,1,29.96900614,-90.08031931
A0117319,FIREWORKS,FIREWORKS,70117,5,29.96900672,-90.01137739
L3746919,FIREWORKS,DISTURBANCE (OTHER),70116,5,29.96917254,-90.0612473
J0579719,FIREWORKS,DISCHARGING FIREARM,70117,5,29.96945999,-90.03322573
I1082319,FIREWORKS,DISCHARGING FIREARM,70116,1,29.96946257,-90.06601366
F4136119,FIREWORKS,FIREWORKS,70117,5,29.96957878,-90.05440787
C0748219,FIREWORKS,DISCHARGING FIREARM,70116,5,29.96962432,-90.05717947
A0000619,FIREWORKS,DISTURBANCE (OTHER),70117,5,29.96986156,-90.0167802
A0123919,FIREWORKS,DISCHARGING FIREARM,70117,5,29.97016203,-90.03114357
C2070719,FIREWORKS,DISCHARGING FIREARM,70119,1,29.97033945,-90.09421083
L3659119,FIREWORKS,DISCHARGING FIREARM,70117,5,29.97049524,-90.04327556
G0539819,FIREWORKS,FIREWORKS,70119,3,29.97052548,-90.10684733
G0570019,FIREWORKS,FIREWORKS,70118,2,29.97056709,-90.12356761
G0529919,FIREWORKS,DISTURBANCE (OTHER),70117,5,29.97067635,-90.0330011
L3243019,FIREWORKS,DISTURBANCE (OTHER),70119,1,29.97104401,-90.0973272
G1279219,FIREWORKS,FIREWORKS,70118,2,29.97133012,-90.12299576
L3243519,FIREWORKS,DISTURBANCE (OTHER),70119,1,29.97136691,-90.09835531
G0557019,FIREWORKS,FIREWORKS,70116,5,29.97143561,-90.05952132
C0455119,FIREWORKS,DISCHARGING FIREARM,70119,1,29.97152948,-90.08362087
G0534319,FIREWORKS,FIREWORKS,70116,5,29.9717384,-90.05852687
G0548719,FIREWORKS,FIREWORKS,70116,5,29.9717384,-90.05852687
H3642819,FIREWORKS,DISCHARGING FIREARM,70116,1,29.97193561,-90.07193954
F4012319,FIREWORKS,FIREWORKS,70119,1,29.97210015,-90.08130593
L4048819,FIREWORKS,FIREWORKS,70119,1,29.97231819,-90.08404882
G0558419,FIREWORKS,FIREWORKS,70116,5,29.97238189,-90.06073506
G0560419,FIREWORKS,FIREWORKS,70116,5,29.97238189,-90.06073506
A0242619,FIREWORKS,DISTURBANCE (OTHER),70117,5,29.9724594,-90.00167763
G0523819,FIREWORKS,FIREWORKS,70116,1,29.97246238,-90.0728493
L3244819,FIREWORKS,FIREWORKS,70119,1,29.97247341,-90.0781686
I3815919,FIREWORKS,COMPLAINT OTHER,70116,5,29.97272319,-90.05979616
L4033719,FIREWORKS,FIREWORKS,70119,1,29.97287751,-90.07875044
L3669319,FIREWORKS,FIREWORKS,70118,3,29.97295183,-90.11350338
G0549319,FIREWORKS,FIREWORKS,70118,3,29.97297722,-90.11353871
A0394719,FIREWORKS,FIREWORKS,70118,3,29.97309656,-90.11337257
D4073019,FIREWORKS,DISCHARGING FIREARM,70119,1,29.97326069,-90.08299842
A0010319,FIREWORKS,FIREWORKS,70119,1,29.97334026,-90.08681062
A2657219,FIREWORKS,EXPLOSION,70119,1,29.97343765,-90.09678005
A0009219,FIREWORKS,FIREWORKS,70118,3,29.9735405,-90.12339325
G0495819,FIREWORKS,AGGRAVATED ASSAULT,70118,3,29.97407168,-90.11385655
I3076919,FIREWORKS,DISCHARGING FIREARM,70117,5,29.97411204,-90.04881463
L3902319,FIREWORKS,DISTURBANCE (OTHER),70117,5,29.97411204,-90.04881463
G0692919,FIREWORKS,DISCHARGING FIREARM,70119,1,29.97418261,-90.08584309
G0446719,FIREWORKS,FIREWORKS,70119,3,29.97428648,-90.10964184
A0002619,FIREWORKS,FIREWORKS,70119,3,29.97431544,-90.10967603
A1476219,FIREWORKS,DISCHARGING FIREARM,70119,3,29.9743546,-90.10283906
A0012719,FIREWORKS,FIREWORKS,70116,5,29.97443324,-90.05856483
G0537919,FIREWORKS,FIREWORKS,70118,3,29.97447641,-90.12344515
A0006619,FIREWORKS,FIREWORKS,70118,3,29.97447641,-90.12344515
A1696219,FIREWORKS,DISCHARGING FIREARM,70117,5,29.97459947,-90.04938199
G0440219,FIREWORKS,DISCHARGING FIREARM,70116,1,29.97466246,-90.06684604
G0525919,FIREWORKS,FIREWORKS,70117,5,29.97613462,-90.01375639
L4030219,FIREWORKS,FIREWORKS,70117,5,29.97618473,-90.05271714
F3148919,FIREWORKS,DISCHARGING FIREARM,70119,1,29.97631277,-90.084917
A0108119,FIREWORKS,FIREWORKS,70116,5,29.976713,-90.06017552
D4072619,FIREWORKS,DISCHARGING FIREARM,70119,1,29.97681845,-90.0820259
C2071419,FIREWORKS,FIREWORKS,70119,1,29.97730679,-90.07699742
A0002019,FIREWORKS,AGGRAVATED ASSAULT,70119,5,29.97848173,-90.06406425
L3685519,FIREWORKS,FIREWORKS,70119,3,29.97892585,-90.10774683
L3580819,FIREWORKS,DISTURBANCE (OTHER),70119,3,29.97892585,-90.10774683
L3664819,FIREWORKS,DISTURBANCE (OTHER),70119,3,29.97892585,-90.10774683
J3787819,FIREWORKS,EXPLOSION,70119,1,29.97940255,-90.09524991
G0537619,FIREWORKS,FIREWORKS,70117,5,29.98003397,-90.05014195
A0004319,FIREWORKS,FIREWORKS,70119,3,29.98006096,-90.10514126
G0989619,FIREWORKS,DISCHARGING FIREARM,70117,5,29.98024061,-90.05204421
G0513819,FIREWORKS,AGGRAVATED ASSAULT,70117,5,29.98031454,-90.03465517
H1544619,FIREWORKS,FIREWORKS,70119,3,29.98041941,-90.11220419
A0032619,FIREWORKS,DISTURBANCE (OTHER),70119,5,29.98158133,-90.06032746
G0527119,FIREWORKS,DISTURBANCE (OTHER),70119,1,29.98159872,-90.07189394
A0095519,FIREWORKS,DISTURBANCE (OTHER),70117,5,29.98196096,-90.04897685
A0096519,FIREWORKS,FIREWORKS,70117,5,29.98330595,-90.04494637
I1226019,FIREWORKS,AGGRAVATED ASSAULT,70117,5,29.98394182,-90.05634601
G0873019,FIREWORKS,FIREWORKS,70119,3,29.98684673,-90.07234265
G0535019,FIREWORKS,FIREWORKS,70119,3,29.98953024,-90.07607217
G0542619,FIREWORKS,FIREWORKS,70126,5,29.98960213,-90.0390369
L4045119,FIREWORKS,FIREWORKS,70124,3,29.99031928,-90.10761282
L4038719,FIREWORKS,FIREWORKS,70124,3,29.99031928,-90.10761282
L4028819,FIREWORKS,DISCHARGING FIREARM,70122,3,29.99215676,-90.06850373
