NOPD_Item,TypeText,InitialTypeText,Zip,PoliceDistrict,Latitude,Longitude
A0025819,FIREWORKS,DISTURBANCE (OTHER),70127,7,30.02778609,-89.98622219
B0520119,FIREWORKS,DISTURBANCE (OTHER),70128,7,30.02783998,-89.95462473
G0544819,FIREWORKS,FIREWORKS,70127,7,30.02828859,-89.9858299
G0419119,FIREWORKS,DISCHARGING FIREARM,70127,7,30.0285541,-89.98535102
A0115719,FIREWORKS,FIREWORKS,70122,3,30.02880126,-90.05792758
I1669219,FIREWORKS,DISCHARGING FIREARM,70122,3,30.02904198,-90.06468705
L4025019,FIREWORKS,FIREWORKS,70126,7,30.030184,-90.0081895
A0006719,FIREWORKS,FIREWORKS,70126,7,30.0311276,-90.00716271
C0071619,FIREWORKS,DISCHARGING FIREARM,70126,7,30.03117162,-90.01030913
A0123619,FIREWORKS,FIREWORKS,70122,3,30.03151699,-90.06732686
G0533419,FIREWORKS,FIREWORKS,70127,7,30.03252085,-89.98894385
G0553519,FIREWORKS,FIREWORKS,70126,7,30.03480132,-90.00399974
A1030819,FIREWORKS,INCIDENT REQUESTED BY ANOTHER AGENCY,70127,7,30.03599373,-89.98642993
G0408319,FIREWORKS,AGGRAVATED ASSAULT,70127,7,30.03694534,-89.9931118
L4044619,FIREWORKS,FIREWORKS,70127,7,30.03740119,-89.96784323
A0021819,FIREWORKS,AGGRAVATED ASSAULT,70127,7,30.03984068,-89.98070573
L3237719,FIREWORKS,DISTURBANCE (OTHER),70129,7,30.03999544,-89.91134293
B0519819,FIREWORKS,DISCHARGING FIREARM,70129,7,30.04113166,-89.92740334
L4054419,FIREWORKS,DISCHARGING FIREARM,70127,7,30.0474306,-89.98695142
L4020219,FIREWORKS,DISTURBANCE (OTHER),70127,7,30.04782523,-89.97911641
A0135819,FIREWORKS,FIREWORKS,70128,7,30.05118753,-89.97255853
A1700819,FIREWORKS,DISCHARGING FIREARM,70128,7,30.0550889,-89.97057907
G1111319,FIREWORKS,COMPLAINT OTHER,70128,7,30.05589026,-89.96995168
G1482719,FIREWORKS,DISCHARGING FIREARM,70128,7,30.05686609,-89.97018196
G0529419,FIREWORKS,DISCHARGING FIREARM,70129,7,30.05823204,-89.93047865
I4098019,FIREWORKS,AGGRAVATED ASSAULT,70128,7,30.06454612,-89.9470083
G0562219,FIREWORKS,FIREWORKS,70128,7,30.06594568,-89.9512835
L4009219,FIREWORKS,FIREWORKS,70128,7,30.06664307,-89.95004242
G0563119,FIREWORKS,FIREWORKS,70128,7,30.06757208,-89.9423802
A0000919,FIREWORKS,FIREWORKS,70128,7,30.07152182,-89.94360643
L4024419,FIREWORKS,DISCHARGING FIREARM,70128,7,30.07171335,-89.94412027
