county,pop,whitepct,blackpct,pubtransit,livealone,collegepct,medinc,hu,medhomevalue,tourismemp,vacant,rental,pubother,subway,over70pct,over18,army,male,commute30,commute60,healthworker,fbornpct,povpct,gini,govpct,noinsurance,outsidecounty,nonprofitpct,STATE,LandSQMI,popdens,hudens,county2
41015,22507,0.907273293,0.004531923,0.000548396,0.082758621,0.239601124,46396,12906,251500,0.138078102,0.191073919,0.301436782,0.000548396,0,0.219487271,19199,0.002190748,0.490647354,0.174355902,0.029658478,0.1247501,0.010663349,0.144823566,0.447,0.046114887,0.065082136,0.099580313,0.098360656,Oregon,1627.461,13.82951727,7.930143948,41015
41017,180640,0.934914748,0.005779451,0.003566906,0.082088008,0.342028098,63680,86875,336400,0.131800993,0.165801439,0.343102758,0.003566906,0,0.121811337,143103,0.000196894,0.493849646,0.197535372,0.027019626,0.097675369,0.02360496,0.10849466,0.4462,0.009198587,0.084119418,0.109661544,0.074122443,Oregon,3018.181,59.85061863,28.78389335,41017
41019,108323,0.925168247,0.004348107,0.002262388,0.072669125,0.171616748,45812,50036,186700,0.103113724,0.100127908,0.316972416,0.002262388,0,0.163714077,87278,0.00069899,0.493616314,0.186027112,0.040302398,0.094367577,0.013339734,0.162306505,0.4377,0.01493536,0.06436568,0.150904185,0.096948407,Oregon,5036.074,21.50941388,9.93551723,41019
41021,1907,0.929732564,0,0,0.051886792,0.202348066,42976,1120,112900,0.110354223,0.242857143,0.366745283,0,0,0.183009963,1513,0,0.47823807,0.173333333,0.044444444,0.050408719,0.02045097,0.106785902,0.3959,0.070844687,0.085218306,NA,0.061307902,Oregon,1204.808,1.582824815,0.929608701,41021
41023,7183,0.946818878,0.003062787,0.002350571,0.081967213,0.188171065,45357,4397,143100,0.070619587,0.250852854,0.296599879,0.002350571,0,0.205067521,5875,0.002477701,0.505499095,0.155619597,0.060158501,0.08727515,0.004872616,0.145768469,0.4287,0.041638907,0.060932408,0.14830412,0.099933378,Oregon,4528.541,1.586162077,0.970952896,41023
41025,7228,0.909103486,0.005118982,0.001051525,0.102312322,0.169552807,41797,3877,117600,0.063146998,0.185710601,0.262907824,0.001051525,0,0.165605977,5729,0,0.505949087,0.161941748,0.057087379,0.118357488,0.011068069,0.16607973,0.4398,0.052449965,0.067434673,0.065375,0.056245687,Oregon,10133.171,0.713300901,0.382604813,41025
41027,23131,0.865980719,0.005360771,0.00362864,0.071436936,0.31607717,62935,9801,355100,0.109717055,0.128762371,0.339735332,0.003451633,0.000177007,0.094634906,17425,0,0.498378799,0.17136291,0.052957634,0.107294281,0.116121223,0.099680846,0.4428,0.021631911,0.081459943,0.283871153,0.087392922,Oregon,521.949,44.31659032,18.77769667,41027
41029,214267,0.91366846,0.006179206,0.01109667,0.079767093,0.273809368,50851,94525,261700,0.115285333,0.075197038,0.369504787,0.010976529,0.000120141,0.139228159,169651,0.000452064,0.487513243,0.177200062,0.030316298,0.116693333,0.035059062,0.162811648,0.4656,0.009077333,0.076802456,0.084746769,0.088917333,Oregon,2783.555,76.97602526,33.95837338,41029
41031,23143,0.710711662,0.00890118,0.010847294,0.075772935,0.184054122,50339,10020,204100,0.105632157,0.21237525,0.304612266,0.010847294,0,0.117746187,17680,0,0.518947414,0.327039959,0.072028967,0.086351951,0.037894828,0.199149283,0.4133,0.031198878,0.097753163,0.526862588,0.058658565,Oregon,1780.784,12.99596133,5.626735191,41031
41033,85481,0.920508651,0.004433734,0.003515739,0.078575796,0.172094721,43046,38853,251000,0.091237377,0.07399686,0.332341987,0.003515739,0,0.166025199,68693,0.000718502,0.49115008,0.230213839,0.041662348,0.140355362,0.023783063,0.185639312,0.4644,0.013933274,0.0807001,0.261195341,0.084430525,Oregon,1639.669,52.13308296,23.69563613,41033
