PLACE,STATE,POP,COLPCT,MEDINC,MHMVAL,MRENT
Adams city,Minnesota,774,0.212978369,58333,99700,570
Adams city,Minnesota,774,0.212978369,58333,99700,570
Adams city,Minnesota,774,0.212978369,58333,99700,570
Adams city,Minnesota,774,0.212978369,58333,99700,570
Adams city,Minnesota,774,0.212978369,58333,99700,570
Adams village,New York,1661,0.269230769,49900,157200,781
Adams village,New York,1661,0.269230769,49900,157200,781
Adams village,Nebraska,517,0.213675214,42083,133900,897
Adams village,Nebraska,517,0.213675214,42083,133900,897
Adamsburg borough,Pennsylvania,129,0.137254902,34063,116100,615
Adamstown borough,Pennsylvania,2228,0.305050505,77986,200400,866
Adamstown CDP,Maryland,2263,0.519285714,142196,439100,1781
Adamsville city,Alabama,4374,0.167113195,46937,98000,972
Adamsville town,Tennessee,2192,0.169469599,32853,82700,524
Adamsville village,Ohio,159,0.078431373,32361,77500,850
Addieville village,Illinois,344,0.184684685,71719,106900,888
Addington town,Oklahoma,141,0.163265306,65625,63300,625
Addis town,Louisiana,4952,0.185084746,69833,190600,1049
Addison (Webster Springs) town,West Virginia,869,0.139673105,30673,68800,475
Addison town,Texas,15626,0.575669864,73383,325100,1294
Addison town,Texas,15626,0.575669864,73383,325100,1294
Addison town,Alabama,641,0.180698152,35682,76800,373
Addison town,Alabama,641,0.180698152,35682,76800,373
Addison village,New York,1753,0.16179159,56667,75900,623
Addison village,New York,1753,0.16179159,56667,75900,623
Addison village,New York,1753,0.16179159,56667,75900,623
Addison village,Michigan,721,0.167048055,38194,92700,656
Addison village,Michigan,721,0.167048055,38194,92700,656
Addison village,Michigan,721,0.167048055,38194,92700,656
Addison village,Illinois,37089,0.235841769,64377,243500,1008
Addison village,Illinois,37089,0.235841769,64377,243500,1008
Addison village,Illinois,37089,0.235841769,64377,243500,1008
Addyston village,Ohio,1040,0.066860465,41466,90400,678
Adel city,Iowa,4316,0.350141044,61250,170800,689
Adel city,Iowa,4316,0.350141044,61250,170800,689
Adel city,Georgia,5290,0.183056872,32481,86500,730
Adel city,Georgia,5290,0.183056872,32481,86500,730
Adelanto city,California,33416,0.04915912,40018,181600,1120
Adell village,Wisconsin,564,0.145780051,70272,136100,631
Adelphi CDP,Maryland,15751,0.311571869,63481,269700,1451
Adelphi village,Ohio,285,0.015873016,34167,82100,663
Adena village,Ohio,679,0.067073171,38542,62800,768
Adjuntas zona urbana,Puerto Rico,4222,0.149101163,10417,105500,364
Adrian city,Michigan,20640,0.169632925,37075,74700,735
Adrian city,Michigan,20640,0.169632925,37075,74700,735
Adrian city,Michigan,20640,0.169632925,37075,74700,735
Adrian city,Michigan,20640,0.169632925,37075,74700,735
Adrian city,Michigan,20640,0.169632925,37075,74700,735
Adrian city,Michigan,20640,0.169632925,37075,74700,735
Adrian city,Oregon,218,0.107142857,46042,67500,682
Adrian city,Oregon,218,0.107142857,46042,67500,682
Adrian city,Oregon,218,0.107142857,46042,67500,682
Adrian city,Oregon,218,0.107142857,46042,67500,682
Adrian city,Oregon,218,0.107142857,46042,67500,682
Adrian city,Oregon,218,0.107142857,46042,67500,682
Adrian city,Missouri,1793,0.11632101,38906,104900,736
Adrian city,Missouri,1793,0.11632101,38906,104900,736
Adrian city,Missouri,1793,0.11632101,38906,104900,736
Adrian city,Missouri,1793,0.11632101,38906,104900,736
Adrian city,Missouri,1793,0.11632101,38906,104900,736
Adrian city,Missouri,1793,0.11632101,38906,104900,736
Adrian city,Georgia,558,0.062686567,22368,51500,501
Adrian city,Georgia,558,0.062686567,22368,51500,501
Adrian city,Georgia,558,0.062686567,22368,51500,501
Adrian city,Georgia,558,0.062686567,22368,51500,501
Adrian city,Georgia,558,0.062686567,22368,51500,501
Adrian city,Georgia,558,0.062686567,22368,51500,501
Adrian city,Minnesota,1150,0.130154639,53000,90900,509
Adrian city,Minnesota,1150,0.130154639,53000,90900,509
Adrian city,Minnesota,1150,0.130154639,53000,90900,509
Adrian city,Minnesota,1150,0.130154639,53000,90900,509
Adrian city,Minnesota,1150,0.130154639,53000,90900,509
Adrian city,Minnesota,1150,0.130154639,53000,90900,509
Advance city,Missouri,1246,0.113402062,29323,87400,557
Advance town,Indiana,459,0.124161074,48750,94800,900
Adwolf CDP,Virginia,1673,0.249803614,46927,116800,746
Aetna Estates CDP,Colorado,1475,0.04035309,42399,45000,1035
Affton CDP,Missouri,20187,0.323784007,58552,143500,874
Afton city,Minnesota,2980,0.560518088,114375,462400,1350
Afton city,Minnesota,2980,0.560518088,114375,462400,1350
Afton city,Iowa,900,0.138345865,47344,72100,495
Afton city,Iowa,900,0.138345865,47344,72100,495
Afton town,Wyoming,2234,0.272136474,52500,216600,867
Afton town,Wyoming,2234,0.272136474,52500,216600,867
Afton town,Oklahoma,1189,0.065028902,34643,63400,542
Afton town,Oklahoma,1189,0.065028902,34643,63400,542
Afton village,New York,986,0.142469471,46176,90800,578
Agawam Town city,Massachusetts,28744,0.33109352,67219,226300,1044
Agency city,Iowa,603,0.115044248,40313,84900,583
Agency village,Missouri,866,0.171641791,69500,163400,747
Agoura Hills city,California,20636,0.568338451,121896,772900,2327
Agra city,Kansas,222,0.112903226,40750,49600,425
Agra town,Oklahoma,294,0.073170732,32500,70000,647
Agua Dulce CDP,California,3728,0.252008766,86806,599700,2278
Agua Dulce CDP,California,3728,0.252008766,86806,599700,2278
Agua Dulce CDP,Texas,3061,0.071937784,30206,65300,678
Agua Dulce CDP,Texas,3061,0.071937784,30206,65300,678
Agua Dulce city,Texas,836,0.12815534,38393,75000,985
Agua Fria CDP,New Mexico,2959,0.13,42290,180700,761
Aguada zona urbana,Puerto Rico,2675,0.129353234,9681,92100,289
Aguadilla zona urbana,Puerto Rico,11170,0.193730006,11175,89600,228
Aguas Buenas zona urbana,Puerto Rico,2866,0.182284382,19072,89700,453
Aguas Claras comunidad,Puerto Rico,2310,0.218730746,17043,92000,702
Aguilar town,Colorado,485,0.171270718,36029,88300,525
