PLACE,STATE,POP,COLPCT,MEDINC,MHMVAL,MRENT
Chapmanville town,West Virginia,1171,0.158083832,36250,111000,638
Chappaqua CDP,New York,1459,0.84502924,218803,639400,2694
Chappell city,Nebraska,911,0.179723502,45673,73600,555
Chardon city,Ohio,5171,0.278369739,67944,177000,731
Charenton CDP,Louisiana,1688,0.085669782,41454,105900,793
Chariton city,Iowa,4151,0.135575589,42485,76500,704
Charlack city,Missouri,1473,0.138297872,36840,81600,823
Charleroi borough,Pennsylvania,3976,0.14979607,34403,41500,686
Charles City city,Iowa,7413,0.194792288,37852,91900,559
Charles Town city,West Virginia,5885,0.317317575,72329,237800,965
Charleston city,Arkansas,2764,0.131578947,40885,88800,718
Charleston city,Arkansas,2764,0.131578947,40885,88800,718
Charleston city,Arkansas,2764,0.131578947,40885,88800,718
Charleston city,Arkansas,2764,0.131578947,40885,88800,718
Charleston city,Arkansas,2764,0.131578947,40885,88800,718
Charleston city,Arkansas,2764,0.131578947,40885,88800,718
Charleston city,Arkansas,2764,0.131578947,40885,88800,718
Charleston city,Missouri,5704,0.111060224,30388,67600,643
Charleston city,Missouri,5704,0.111060224,30388,67600,643
Charleston city,Missouri,5704,0.111060224,30388,67600,643
Charleston city,Missouri,5704,0.111060224,30388,67600,643
Charleston city,Missouri,5704,0.111060224,30388,67600,643
Charleston city,Missouri,5704,0.111060224,30388,67600,643
Charleston city,Missouri,5704,0.111060224,30388,67600,643
Charleston city,Tennessee,844,0.1019678,40333,122000,677
Charleston city,Tennessee,844,0.1019678,40333,122000,677
Charleston city,Tennessee,844,0.1019678,40333,122000,677
Charleston city,Tennessee,844,0.1019678,40333,122000,677
Charleston city,Tennessee,844,0.1019678,40333,122000,677
Charleston city,Tennessee,844,0.1019678,40333,122000,677
Charleston city,Tennessee,844,0.1019678,40333,122000,677
Charleston city,Illinois,20632,0.354829678,36853,100200,705
Charleston city,Illinois,20632,0.354829678,36853,100200,705
Charleston city,Illinois,20632,0.354829678,36853,100200,705
Charleston city,Illinois,20632,0.354829678,36853,100200,705
Charleston city,Illinois,20632,0.354829678,36853,100200,705
Charleston city,Illinois,20632,0.354829678,36853,100200,705
Charleston city,Illinois,20632,0.354829678,36853,100200,705
Charleston city,West Virginia,48734,0.383016902,41701,145300,727
Charleston city,West Virginia,48734,0.383016902,41701,145300,727
Charleston city,West Virginia,48734,0.383016902,41701,145300,727
Charleston city,West Virginia,48734,0.383016902,41701,145300,727
Charleston city,West Virginia,48734,0.383016902,41701,145300,727
Charleston city,West Virginia,48734,0.383016902,41701,145300,727
Charleston city,West Virginia,48734,0.383016902,41701,145300,727
Charleston city,Mississippi,2086,0.099843994,23730,67700,497
Charleston city,Mississippi,2086,0.099843994,23730,67700,497
Charleston city,Mississippi,2086,0.099843994,23730,67700,497
Charleston city,Mississippi,2086,0.099843994,23730,67700,497
Charleston city,Mississippi,2086,0.099843994,23730,67700,497
Charleston city,Mississippi,2086,0.099843994,23730,67700,497
Charleston city,Mississippi,2086,0.099843994,23730,67700,497
Charleston city,South Carolina,133762,0.520371358,64599,308100,1208
Charleston city,South Carolina,133762,0.520371358,64599,308100,1208
Charleston city,South Carolina,133762,0.520371358,64599,308100,1208
Charleston city,South Carolina,133762,0.520371358,64599,308100,1208
Charleston city,South Carolina,133762,0.520371358,64599,308100,1208
Charleston city,South Carolina,133762,0.520371358,64599,308100,1208
Charleston city,South Carolina,133762,0.520371358,64599,308100,1208
Charleston town,Utah,629,0.249394673,70313,355400,1542
Charlestown CDP,New Hampshire,1029,0.13002681,50833,138300,788
Charlestown CDP,New Hampshire,1029,0.13002681,50833,138300,788
Charlestown city,Indiana,8134,0.122120247,45607,115600,733
Charlestown town,Maryland,1391,0.267418033,94306,246300,1208
Charlevoix city,Michigan,2364,0.356981982,32398,166200,598
Charlo CDP,Montana,320,0.15920398,44750,157100,658
Charlotte city,Michigan,9091,0.145283935,46863,104300,655
Charlotte city,Michigan,9091,0.145283935,46863,104300,655
Charlotte city,Michigan,9091,0.145283935,46863,104300,655
Charlotte city,Michigan,9091,0.145283935,46863,104300,655
Charlotte city,North Carolina,841611,0.435207579,60886,200500,1086
Charlotte city,North Carolina,841611,0.435207579,60886,200500,1086
Charlotte city,North Carolina,841611,0.435207579,60886,200500,1086
Charlotte city,North Carolina,841611,0.435207579,60886,200500,1086
Charlotte city,Iowa,325,0.147959184,53750,104000,595
Charlotte city,Iowa,325,0.147959184,53750,104000,595
Charlotte city,Iowa,325,0.147959184,53750,104000,595
Charlotte city,Iowa,325,0.147959184,53750,104000,595
Charlotte city,Texas,1605,0.044117647,38571,48500,587
Charlotte city,Texas,1605,0.044117647,38571,48500,587
Charlotte city,Texas,1605,0.044117647,38571,48500,587
Charlotte city,Texas,1605,0.044117647,38571,48500,587
Charlotte Court House town,Virginia,583,0.163551402,38646,106300,625
Charlotte Hall CDP,Maryland,2026,0.121621622,93125,241300,1149
Charlotte Harbor CDP,Florida,4077,0.279765396,39773,126800,784
Charlotte Park CDP,Florida,2174,0.229499742,50694,182100,976
Charlotte town,Tennessee,1674,0.04224208,41213,116800,684
Charlottesville city,Virginia,47042,0.526041494,58933,283800,1118
Charter Oak CDP,California,9760,0.263346792,75371,419500,1754
Charter Oak city,Iowa,644,0.092457421,39833,50400,633
Chase CDP,Pennsylvania,855,0.410557185,62159,211800,740
Chase city,Kansas,514,0.104938272,39333,29500,491
Chase City town,Virginia,2401,0.128543177,26776,77300,584
Chaseburg village,Wisconsin,320,0.220779221,51389,132900,650
Chaska city,Minnesota,25998,0.464445906,87018,257900,1133
Chataignier village,Louisiana,247,0.12804878,21667,74200,430
Chateaugay village,New York,729,0.20441989,43281,85800,605
Chatfield city,Minnesota,2845,0.303618249,69833,178300,720
Chatfield village,Ohio,247,0.086419753,45729,72300,542
Chatham borough,New Jersey,8881,0.763408072,169524,739100,1760
Chatham CDP,Massachusetts,1480,0.608627451,61953,797400,585
Chatham town,Virginia,1210,0.373614191,46776,139500,638
Chatham town,Virginia,1210,0.373614191,46776,139500,638
Chatham town,Louisiana,680,0.100985222,19500,67500,505
Chatham town,Louisiana,680,0.100985222,19500,67500,505
Chatham village,New York,1655,0.342857143,52865,222700,948
Chatham village,New York,1655,0.342857143,52865,222700,948
Chatham village,New York,1655,0.342857143,52865,222700,948
Chatham village,Michigan,216,0.121621622,46875,97500,754
Chatham village,Michigan,216,0.121621622,46875,97500,754
Chatham village,Michigan,216,0.121621622,46875,97500,754
Chatham village,Illinois,12535,0.491944276,84749,187900,1075
Chatham village,Illinois,12535,0.491944276,84749,187900,1075
Chatham village,Illinois,12535,0.491944276,84749,187900,1075
Chatmoss CDP,Virginia,1405,0.412020906,66531,180300,388
Chatom town,Alabama,980,0.198630137,60469,161300,584
Chatsworth city,Georgia,4271,0.172338433,36811,142800,653
Chatsworth city,Georgia,4271,0.172338433,36811,142800,653
Chatsworth town,Illinois,1196,0.086451613,31169,62600,609
Chattahoochee city,Florida,3103,0.099732858,27788,81700,611
Chattahoochee Hills city,Georgia,2867,0.281934307,63556,191800,1050
Chattanooga city,Tennessee,177365,0.294291546,43964,160100,827
Chattanooga town,Oklahoma,419,0.212328767,42946,74400,667
Chattanooga Valley CDP,Georgia,3727,0.1640683,42708,102500,741
Chaumont village,New York,827,0.193423598,59107,148400,813
Chauncey city,Georgia,369,0.078947368,32778,52100,543
Chauncey village,Ohio,1019,0.085333333,28480,58800,661
Chauvin CDP,Louisiana,2579,0.028571429,45170,89000,615
Chazy CDP,New York,523,0.185507246,98875,118000,784
Cheat Lake CDP,West Virginia,9337,0.536622506,84547,282700,913
Chebanse village,Illinois,1138,0.168289291,72768,139300,868
Cheboygan city,Michigan,4726,0.137767221,35373,81800,537
Checotah city,Oklahoma,3188,0.13830286,37368,84300,626
Cheektowaga CDP,New York,74026,0.23397057,52705,109400,825
Chefornak city,Alaska,501,0.017777778,53750,68000,525
Chehalis city,Washington,7404,0.186806412,40330,172300,834
Chelan city,Washington,4070,0.207407407,56900,313300,851
Chelsea CDP,Wisconsin,104,0,34167,85000,773
Chelsea CDP,Wisconsin,104,0,34167,85000,773
Chelsea CDP,Vermont,381,0.18442623,37250,131700,548
Chelsea CDP,Vermont,381,0.18442623,37250,131700,548
Chelsea city,Michigan,5295,0.481363152,78958,206800,1064
Chelsea city,Michigan,5295,0.481363152,78958,206800,1064
Chelsea city,Michigan,5295,0.481363152,78958,206800,1064
Chelsea city,Michigan,5295,0.481363152,78958,206800,1064
Chelsea city,Iowa,272,0.094339623,50938,41300,675
Chelsea city,Iowa,272,0.094339623,50938,41300,675
Chelsea city,Iowa,272,0.094339623,50938,41300,675
Chelsea city,Iowa,272,0.094339623,50938,41300,675
Chelsea city,Alabama,12643,0.465248766,95060,222800,1568
Chelsea city,Alabama,12643,0.465248766,95060,222800,1568
Chelsea city,Alabama,12643,0.465248766,95060,222800,1568
Chelsea city,Alabama,12643,0.465248766,95060,222800,1568
Chelsea city,Massachusetts,39852,0.174710719,53280,323400,1361
Chelsea city,Massachusetts,39852,0.174710719,53280,323400,1361
Chelsea city,Massachusetts,39852,0.174710719,53280,323400,1361
Chelsea city,Massachusetts,39852,0.174710719,53280,323400,1361
Chelsea town,Oklahoma,1990,0.114443567,35729,73100,652
Chelsea town,Oklahoma,1990,0.114443567,35729,73100,652
Chelyan CDP,West Virginia,1001,0,19818,50400,619
Chena Ridge CDP,Alaska,5903,0.514271152,96004,281700,793
Chenango Bridge CDP,New York,2916,0.401425178,70729,133600,794
Chenequa village,Wisconsin,560,0.6073903,170313,1729200,1304
Cheney city,Kansas,2028,0.272794663,64881,120600,865
Cheney city,Kansas,2028,0.272794663,64881,120600,865
Cheney city,Washington,11962,0.421359223,37386,188200,872
Cheney city,Washington,11962,0.421359223,37386,188200,872
Cheneyville town,Louisiana,623,0.122004357,19565,89300,519
Chenoa city,Illinois,2037,0.203204661,54697,99100,748
Chenoweth CDP,Oregon,2053,0.147590361,54741,172300,828
Chepachet CDP,Rhode Island,1529,0.249152542,71359,232800,818
Cheraw town,South Carolina,5701,0.146907216,29444,114400,539
Cheraw town,South Carolina,5701,0.146907216,29444,114400,539
Cheraw town,Colorado,234,0.202380952,48750,97500,556
Cheraw town,Colorado,234,0.202380952,48750,97500,556
Cheriton town,Virginia,508,0.143209877,36071,162200,800
Cherokee CDP,North Carolina,2163,0.161228407,36793,116900,530
Cherokee CDP,North Carolina,2163,0.161228407,36793,116900,530
Cherokee city,Kansas,873,0.225933202,40341,49300,644
Cherokee city,Kansas,873,0.225933202,40341,49300,644
Cherokee city,Kansas,873,0.225933202,40341,49300,644
Cherokee city,Iowa,4966,0.219011846,46366,84000,548
Cherokee city,Iowa,4966,0.219011846,46366,84000,548
Cherokee city,Iowa,4966,0.219011846,46366,84000,548
Cherokee city,Oklahoma,1598,0.20821662,54556,66800,617
Cherokee city,Oklahoma,1598,0.20821662,54556,66800,617
Cherokee city,Oklahoma,1598,0.20821662,54556,66800,617
Cherokee town,Alabama,814,0.105621806,27125,75000,763
Cherokee Village city,Arkansas,5067,0.175429185,38132,83400,756
Cherry Creek CDP,Colorado,12601,0.691537428,104091,596500,1501
Cherry Creek village,New York,481,0.146666667,49464,70700,922
Cherry Fork CDP,Ohio,290,0.586206897,46127,66100,489
Cherry Grove CDP,Ohio,4521,0.466576179,87910,172500,1667
Cherry Grove CDP,Ohio,4521,0.466576179,87910,172500,1667
Cherry Hill CDP,Virginia,19731,0.348442407,98272,310000,1519
Cherry Hill Mall CDP,New Jersey,13752,0.428336924,85853,236600,1360
Cherry Hills Village city,Colorado,6600,0.832562442,250001,1588700,2183
Cherry Tree borough,Pennsylvania,371,0.092827004,38304,67300,1018
Cherry Tree CDP,Oklahoma,1052,0.072808321,31172,64300,582
Cherry Valley CDP,California,7755,0.19895288,54675,253700,985
Cherry Valley city,Arkansas,789,0.131004367,50096,60600,633
Cherry Valley village,Illinois,2895,0.240830756,60250,166700,734
Cherry Valley village,Illinois,2895,0.240830756,60250,166700,734
Cherry Valley village,New York,555,0.359897172,45909,150000,833
Cherry Valley village,New York,555,0.359897172,45909,150000,833
Cherry village,Illinois,469,0.129449838,48000,80000,639
Cherryland CDP,California,16387,0.180612245,63264,428000,1564
Cherryvale CDP,South Carolina,3202,0.031457955,32056,80800,619
Cherryvale city,Kansas,2194,0.13,39318,49700,638
Cherryville CDP,Pennsylvania,1767,0.310751105,64219,258300,943
Cherryville city,North Carolina,5889,0.178911399,42299,115800,773
Chesaning village,Michigan,2390,0.184193754,43447,85300,628
Chesapeake Beach town,Maryland,5922,0.333421191,101517,328600,1777
Chesapeake city,Virginia,237820,0.324505767,75790,265600,1235
Chesapeake City town,Maryland,763,0.308457711,72083,257100,1114
Chesapeake Ranch Estates CDP,Maryland,9732,0.24499354,90042,201900,1549
Chesapeake town,West Virginia,1899,0.071100917,37717,63900,690
Chesapeake village,Ohio,830,0.171122995,40139,93800,779
Cheshire CDP,Massachusetts,628,0.282666667,76709,187800,950
Cheshire Village CDP,Connecticut,6484,0.582275711,100164,315200,1054
Chesilhurst borough,New Jersey,1499,0.093457944,50489,153700,1019
Chesnee city,South Carolina,664,0.109057301,19853,90000,656
Chest Springs borough,Pennsylvania,156,0.081395349,63958,111500,700
Chester borough,New Jersey,1593,0.592488263,107750,484500,1475
Chester CDP,Maryland,4573,0.344640821,86250,332400,1740
Chester CDP,Maryland,4573,0.344640821,86250,332400,1740
Chester CDP,Maryland,4573,0.344640821,86250,332400,1740
Chester CDP,Maryland,4573,0.344640821,86250,332400,1740
Chester CDP,Maryland,4573,0.344640821,86250,332400,1740
Chester CDP,Maryland,4573,0.344640821,86250,332400,1740
Chester CDP,Maryland,4573,0.344640821,86250,332400,1740
Chester CDP,California,2116,0.14852038,54583,183600,723
Chester CDP,California,2116,0.14852038,54583,183600,723
Chester CDP,California,2116,0.14852038,54583,183600,723
Chester CDP,California,2116,0.14852038,54583,183600,723
Chester CDP,California,2116,0.14852038,54583,183600,723
Chester CDP,California,2116,0.14852038,54583,183600,723
Chester CDP,California,2116,0.14852038,54583,183600,723
Chester CDP,Vermont,798,0.365102639,46852,233200,764
Chester CDP,Vermont,798,0.365102639,46852,233200,764
Chester CDP,Vermont,798,0.365102639,46852,233200,764
Chester CDP,Vermont,798,0.365102639,46852,233200,764
Chester CDP,Vermont,798,0.365102639,46852,233200,764
Chester CDP,Vermont,798,0.365102639,46852,233200,764
Chester CDP,Vermont,798,0.365102639,46852,233200,764
Chester CDP,Virginia,22144,0.303058951,69769,215200,1215
Chester CDP,Virginia,22144,0.303058951,69769,215200,1215
Chester CDP,Virginia,22144,0.303058951,69769,215200,1215
Chester CDP,Virginia,22144,0.303058951,69769,215200,1215
Chester CDP,Virginia,22144,0.303058951,69769,215200,1215
Chester CDP,Virginia,22144,0.303058951,69769,215200,1215
Chester CDP,Virginia,22144,0.303058951,69769,215200,1215
Chester CDP,Massachusetts,795,0.142123288,54083,182800,938
Chester CDP,Massachusetts,795,0.142123288,54083,182800,938
Chester CDP,Massachusetts,795,0.142123288,54083,182800,938
Chester CDP,Massachusetts,795,0.142123288,54083,182800,938
Chester CDP,Massachusetts,795,0.142123288,54083,182800,938
Chester CDP,Massachusetts,795,0.142123288,54083,182800,938
Chester CDP,Massachusetts,795,0.142123288,54083,182800,938
Chester Center CDP,Connecticut,1653,0.523450586,111094,356100,1477
Chester city,South Carolina,5433,0.141851651,25871,75100,575
Chester city,South Carolina,5433,0.141851651,25871,75100,575
Chester city,South Carolina,5433,0.141851651,25871,75100,575
Chester city,South Carolina,5433,0.141851651,25871,75100,575
Chester city,South Carolina,5433,0.141851651,25871,75100,575
Chester city,Iowa,193,0.087301587,28214,57100,659
Chester city,Iowa,193,0.087301587,28214,57100,659
Chester city,Iowa,193,0.087301587,28214,57100,659
Chester city,Iowa,193,0.087301587,28214,57100,659
Chester city,Iowa,193,0.087301587,28214,57100,659
Chester city,Illinois,8410,0.082395865,45321,94000,578
Chester city,Illinois,8410,0.082395865,45321,94000,578
Chester city,Illinois,8410,0.082395865,45321,94000,578
Chester city,Illinois,8410,0.082395865,45321,94000,578
Chester city,Illinois,8410,0.082395865,45321,94000,578
Chester city,Pennsylvania,33977,0.110082355,30949,67800,834
Chester city,Pennsylvania,33977,0.110082355,30949,67800,834
Chester city,Pennsylvania,33977,0.110082355,30949,67800,834
Chester city,Pennsylvania,33977,0.110082355,30949,67800,834
Chester city,Pennsylvania,33977,0.110082355,30949,67800,834
Chester city,West Virginia,2314,0.026574235,37210,88600,637
Chester city,West Virginia,2314,0.026574235,37210,88600,637
Chester city,West Virginia,2314,0.026574235,37210,88600,637
Chester city,West Virginia,2314,0.026574235,37210,88600,637
Chester city,West Virginia,2314,0.026574235,37210,88600,637
Chester Gap CDP,Virginia,985,0.270229008,85568,209400,1200
Chester Heights borough,Pennsylvania,2630,0.495306461,88139,260400,1904
Chester Hill borough,Pennsylvania,830,0.155515371,40789,81700,604
Chester town,Montana,1073,0.232843137,45833,117200,577
Chester town,Montana,1073,0.232843137,45833,117200,577
Chester town,Montana,1073,0.232843137,45833,117200,577
Chester town,Montana,1073,0.232843137,45833,117200,577
Chester town,Texas,333,0.136752137,49250,69200,520
Chester town,Texas,333,0.136752137,49250,69200,520
Chester town,Texas,333,0.136752137,49250,69200,520
Chester town,Texas,333,0.136752137,49250,69200,520
Chester town,Georgia,2121,0.028108108,20375,66800,380
Chester town,Georgia,2121,0.028108108,20375,66800,380
Chester town,Georgia,2121,0.028108108,20375,66800,380
Chester town,Georgia,2121,0.028108108,20375,66800,380
Chester village,New York,3981,0.240520043,70917,196100,1444
Chester village,New York,3981,0.240520043,70917,196100,1444
Chesterbrook CDP,Pennsylvania,4714,0.76191796,119010,312800,1813
Chesterfield city,Missouri,47663,0.6714752,106250,370300,1177
Chesterfield town,Indiana,2336,0.105757932,41222,64700,764
Chesterfield town,Indiana,2336,0.105757932,41222,64700,764
Chesterfield town,South Carolina,1512,0.189753321,51000,116400,641
Chesterfield town,South Carolina,1512,0.189753321,51000,116400,641
Chesterhill village,Ohio,491,0.092198582,43125,65000,532
Chesterland CDP,Ohio,2277,0.356638871,70094,171000,835
Chesterton town,Indiana,13899,0.320645297,68250,184400,929
Chestertown CDP,New York,515,0.17218543,48547,163700,725
Chestertown town,Maryland,5113,0.414290191,39679,236100,831
Chesterville village,Ohio,182,0.203007519,55417,87500,850
Chestnut Ridge village,New York,8057,0.432183457,89575,465300,1498
Cheswick borough,Pennsylvania,1715,0.372618207,58980,117900,917
Cheswold town,Delaware,1313,0.148104265,48103,83100,963
Chetek city,Wisconsin,2166,0.183520599,51532,116000,638
Chetopa city,Kansas,1329,0.09039548,34786,51900,597
Chevak city,Alaska,1144,0.081288344,38250,66200,758
Cheval CDP,Florida,10603,0.487518756,69256,336500,1042
Cheverly town,Maryland,6452,0.491547186,98056,332000,1307
Cheviot city,Ohio,8318,0.227695487,46134,93300,687
Chevy Chase CDP,Maryland,9611,0.855409205,180917,916700,2242
Chevy Chase Heights CDP,Pennsylvania,1732,0.334913112,39306,155600,591
Chevy Chase Section Five village,Maryland,668,0.913461538,250001,1256600,3501
Chevy Chase town,Maryland,2965,0.931602596,250001,1277300,3501
Chevy Chase Village town,Maryland,1943,0.916603487,250001,1641400,3501
Chewelah city,Washington,2620,0.135350318,34280,144200,617
Cheyenne city,Wyoming,63243,0.303924317,63235,200200,898
Cheyenne town,Oklahoma,835,0.139240506,39514,74500,559
Cheyenne Wells town,Colorado,989,0.213063764,45781,109000,530
Chicago city,Illinois,2718555,0.383925604,55198,246500,1077
Chicago Heights city,Illinois,30087,0.156959213,47592,100700,935
Chicago Ridge village,Illinois,14254,0.175777063,42306,159000,989
Chickamauga city,Georgia,3145,0.167025862,43661,127400,733
Chickasaw city,Alabama,5837,0.144470868,32855,75500,898
Chickasaw village,Ohio,375,0.207792208,52083,171500,543
Chickasha city,Oklahoma,16297,0.193170187,40438,85400,673
Chico CDP,Washington,2840,0.331184928,104435,417800,1227
Chico city,Texas,1282,0.023573201,46667,86800,1000
Chico city,Texas,1282,0.023573201,46667,86800,1000
Chico city,California,91998,0.373835112,47359,305300,1044
Chico city,California,91998,0.373835112,47359,305300,1044
Chicopee CDP,Kansas,673,0.437371663,76625,88800,677
Chicopee city,Massachusetts,55661,0.18658147,49434,176700,917
Chicora borough,Pennsylvania,1017,0.141414141,58750,107500,631
Chidester city,Arkansas,297,0.037344398,31875,36700,438
Chief Lake CDP,Wisconsin,506,0.195652174,35938,96400,608
Chiefland city,Florida,2514,0.094414894,21829,93700,665
Chilchinbito CDP,Arizona,892,0.040865385,19250,30000,425
Childersburg city,Alabama,4959,0.100591716,34286,101800,527
Childress city,Texas,6203,0.149596965,39257,74600,738
Chilhowee town,Missouri,397,0.16872428,25208,38500,578
Chilhowie town,Virginia,1855,0.24017791,44583,133200,681
Chillicothe city,Illinois,6135,0.194098663,46739,118300,694
Chillicothe city,Illinois,6135,0.194098663,46739,118300,694
Chillicothe city,Illinois,6135,0.194098663,46739,118300,694
Chillicothe city,Illinois,6135,0.194098663,46739,118300,694
Chillicothe city,Illinois,6135,0.194098663,46739,118300,694
Chillicothe city,Missouri,9136,0.197307335,41614,87300,651
Chillicothe city,Missouri,9136,0.197307335,41614,87300,651
Chillicothe city,Missouri,9136,0.197307335,41614,87300,651
Chillicothe city,Missouri,9136,0.197307335,41614,87300,651
Chillicothe city,Missouri,9136,0.197307335,41614,87300,651
Chillicothe city,Ohio,21717,0.207751035,44027,112400,743
Chillicothe city,Ohio,21717,0.207751035,44027,112400,743
Chillicothe city,Ohio,21717,0.207751035,44027,112400,743
Chillicothe city,Ohio,21717,0.207751035,44027,112400,743
Chillicothe city,Ohio,21717,0.207751035,44027,112400,743
Chillicothe city,Texas,764,0.18317757,55625,39100,625
Chillicothe city,Texas,764,0.18317757,55625,39100,625
Chillicothe city,Texas,764,0.18317757,55625,39100,625
Chillicothe city,Texas,764,0.18317757,55625,39100,625
Chillicothe city,Texas,764,0.18317757,55625,39100,625
Chillum CDP,Maryland,35798,0.197788852,62733,270800,1404
Chiloquin city,Oregon,980,0.151724138,32426,69100,688
Chilton city,Wisconsin,3848,0.197984161,47543,127700,627
Chimney Rock Village village,North Carolina,140,0.297029703,31500,225000,682
China city,Texas,979,0.080052493,52833,91500,1000
China Grove town,North Carolina,4177,0.133850303,47639,111200,738
China Grove town,North Carolina,4177,0.133850303,47639,111200,738
China Grove town,Texas,1241,0.264344262,84250,212800,1239
China Grove town,Texas,1241,0.264344262,84250,212800,1239
China Lake Acres CDP,California,1947,0.220233463,29545,128500,905
China Spring CDP,Texas,990,0.060606061,57344,157300,994
Chinchilla CDP,Pennsylvania,2192,0.352902375,66833,195700,770
Chincoteague town,Virginia,2899,0.284440843,48639,235100,875
Chinle CDP,Arizona,5378,0.181527389,32303,27500,460
Chino city,California,87735,0.21079504,79477,433700,1559
Chino Hills city,California,79298,0.460405987,104590,597400,2053
Chino Valley town,Arizona,11376,0.138366223,47065,190700,862
Chinook city,Montana,944,0.202917772,31908,112100,492
Chipley city,Florida,3511,0.144119014,30769,94500,717
Chippewa Falls city,Wisconsin,14017,0.200656501,44418,123500,762
Chippewa Lake village,Ohio,672,0.221374046,50500,136700,893
Chippewa Park CDP,Ohio,720,0.129485179,33478,68900,577
Chireno city,Texas,446,0.10130719,31964,100000,342
Chisago City city,Minnesota,5043,0.222401723,78879,244800,755
Chisholm CDP,Maine,1411,0.22080292,53802,129100,556
Chisholm city,Minnesota,4934,0.174736189,39988,74100,536
Chitina CDP,Alaska,98,0,16400,9999,850
Chittenango village,New York,4920,0.288053366,76544,130900,683
Chocowinity town,North Carolina,903,0.079744817,26534,89000,576
Choctaw city,Oklahoma,12367,0.280914444,75481,174400,949
Chokio city,Minnesota,419,0.261029412,37083,71500,331
Choteau city,Montana,1866,0.220640569,40833,129900,765
Choudrant village,Louisiana,1252,0.457393484,66136,173500,812
Chouteau town,Oklahoma,2124,0.193295292,53125,109500,738
Chowchilla city,California,18533,0.080390921,49672,205200,899
Chrisman city,Illinois,1306,0.17413442,47361,80200,568
Chrisney town,Indiana,724,0.1625,57750,86500,403
Christiana borough,Pennsylvania,1007,0.217451524,62841,174300,900
Christiansburg town,Virginia,22049,0.399602879,58971,189000,908
Christiansburg village,Ohio,478,0.084690554,51944,77700,696
Christopher city,Illinois,2725,0.153932584,32482,65400,694
Chualar CDP,California,1442,0.045576408,43393,261800,1128
Chuathbaluk city,Alaska,124,0.171875,38750,122900,967
Chubbuck city,Idaho,14728,0.266439785,59148,160700,847
Chugwater town,Wyoming,262,0.201923077,44423,78800,660
Chula city,Missouri,218,0.054794521,32188,57500,541
Chula Vista CDP (Maverick County),Texas,3922,0.11615245,38061,79500,807
Chula Vista city,California,266468,0.287514712,76354,465000,1536
Chuluota CDP,Florida,2582,0.254128929,72031,173300,1163
Chums Corner CDP,Michigan,1150,0.431154381,95000,222900,1115
Chumuckla CDP,Florida,801,0.151558074,58515,185300,540
Chunky town,Mississippi,415,0.082142857,34722,69000,782
Church Creek town,Maryland,105,0.2,45000,213500,971
Church Hill CDP,Pennsylvania,1597,0.288814691,60347,161500,716
Church Hill city,Tennessee,6681,0.19423308,43542,132600,594
Church Hill town,Maryland,838,0.265454545,85156,224100,1260
Church Point town,Louisiana,4511,0.041679627,31288,77700,584
Church Rock CDP,New Mexico,909,0.049822064,36250,36900,752
Churchill borough,Pennsylvania,2963,0.64838013,90114,173900,1655
Churchill CDP,Montana,984,0.435064935,58000,301700,1063
Churchill CDP,Montana,984,0.435064935,58000,301700,1063
Churchill CDP,Ohio,2328,0.141712877,40769,90800,589
Churchill CDP,Ohio,2328,0.141712877,40769,90800,589
Churchville village,New York,2230,0.400125628,64531,138200,1035
Churdan city,Iowa,474,0.149206349,40417,45700,545
Churubusco town,Indiana,1800,0.158216783,45179,98900,722
Ciales zona urbana,Puerto Rico,2274,0.189033189,12688,92600,99
Cibecue CDP,Arizona,2187,0.023719165,18083,55000,513
Cibola CDP,Arizona,293,0,39359,104200,1063
Cibolo city,Texas,27963,0.385959698,97277,222800,1701
Cicero town,Indiana,4861,0.242701774,68450,144500,836
Cicero town,Indiana,4861,0.242701774,68450,144500,836
Cicero town,Illinois,83147,0.084276626,47487,154600,910
Cicero town,Illinois,83147,0.084276626,47487,154600,910
Cidra zona urbana,Puerto Rico,5620,0.196210745,14063,111500,409
Cienega Springs CDP,Arizona,1882,0.124495289,30833,114700,892
Cienegas Terrace CDP,Texas,3489,0.055590256,53073,83000,668
Cimarron city,Kansas,2312,0.254347826,67292,143000,717
Cimarron Hills CDP,Colorado,18285,0.243635727,61186,178000,1001
Cimarron village,New Mexico,983,0.204301075,27108,90500,619
Cincinnati city,Ohio,300357,0.361113394,38542,129100,709
Cincinnati city,Ohio,300357,0.361113394,38542,129100,709
Cincinnati city,Iowa,380,0.135036496,46042,52700,625
Cincinnati city,Iowa,380,0.135036496,46042,52700,625
Cinco Bayou town,Florida,446,0.383098592,62625,231000,1036
Cinco Ranch CDP,Texas,16977,0.626316263,139420,362100,1375
Circle Pines city,Minnesota,4954,0.308304892,84137,191800,1467
Circle town,Montana,505,0.113989637,42235,115400,650
Circleville city,Ohio,13853,0.173972315,41660,123300,783
Circleville city,Ohio,13853,0.173972315,41660,123300,783
Circleville town,Utah,691,0.226215645,53571,166800,639
Cisco city,Texas,3766,0.143803585,35240,60500,598
Cisco village,Illinois,246,0.191489362,58523,97900,808
Cisne village,Illinois,598,0.075892857,37708,56700,494
Cissna Park village,Illinois,778,0.200357782,43000,96500,607
Citronelle city,Alabama,3911,0.164835165,42571,118300,774
Citrus CDP,California,10771,0.125392745,74479,402300,1856
Citrus City CDP,Texas,3275,0.025459689,20532,51800,499
